iter	Logloss
0	0.6635452591
1	0.6381472208
2	0.6168911389
3	0.5991235007
4	0.5833747138
5	0.5708835806
6	0.5601967603
7	0.5507188978
8	0.5432779621
9	0.5358064657
10	0.529338102
11	0.5235173676
12	0.5183526829
13	0.5137295088
14	0.509465976
15	0.5050031506
16	0.5014157217
17	0.4981920522
18	0.495499137
19	0.4927847961
20	0.4909609826
21	0.4881726915
22	0.4852973514
23	0.4831780075
24	0.4814149824
25	0.4798254192
26	0.4783712848
27	0.4768702527
28	0.475636992
29	0.474391493
30	0.4721540379
31	0.471028268
32	0.4700256526
33	0.4683078906
34	0.4666221062
35	0.4658271065
36	0.4640947524
37	0.4621853885
38	0.4609935711
39	0.4598827793
40	0.4587500201
41	0.4574064703
42	0.4562031748
43	0.4550197292
44	0.4541065522
45	0.4530094225
46	0.4513880284
47	0.450577523
48	0.4499704043
49	0.449096433
50	0.4486097744
51	0.4480019697
52	0.4473721007
53	0.4468483769
54	0.4460202915
55	0.4455530034
56	0.4451382614
57	0.4441980267
58	0.4429651347
59	0.4422330208
60	0.4414728134
61	0.4407862308
62	0.4397592168
63	0.4390872861
64	0.438680097
65	0.4376739467
66	0.4372533255
67	0.4368903952
68	0.4365187631
69	0.4360389631
70	0.4354910566
71	0.4350107352
72	0.4346495989
73	0.4342468565
74	0.4335729699
75	0.4328910782
76	0.4325058046
77	0.4321970072
78	0.4317997564
79	0.4311825913
80	0.4308521386
81	0.4304661799
82	0.4298693518
83	0.4295352151
84	0.4292527278
85	0.4283304866
86	0.4273202013
87	0.4269602362
88	0.4262915022
89	0.4251791894
90	0.4249643174
91	0.4246861157
92	0.4239185301
93	0.42351832
94	0.4232391881
95	0.4224474584
96	0.4217881528
97	0.4214960256
98	0.4211613267
99	0.4205522821
100	0.4197663885
101	0.4194815001
102	0.4190113914
103	0.4187191798
104	0.4185144672
105	0.4177325621
106	0.4171619034
107	0.4168412474
108	0.41644946
109	0.4156127852
110	0.4152993721
111	0.4149073574
112	0.4147189399
113	0.4138472409
114	0.4133103991
115	0.4128465455
116	0.4126786049
117	0.4123917689
118	0.4121379219
119	0.4112501784
120	0.4107988981
121	0.4105800588
122	0.4099408314
123	0.4097087141
124	0.4088380787
125	0.4086066669
126	0.408327291
127	0.4080141056
128	0.4076868644
129	0.406703299
130	0.4064797228
131	0.4061682798
132	0.405540557
133	0.4051385276
134	0.4048899913
135	0.403779171
136	0.4034567982
137	0.403296673
138	0.4026141251
139	0.4021551285
140	0.4014314071
141	0.4009254604
142	0.4007051763
143	0.4004845788
144	0.4000531013
145	0.3996194236
146	0.3988227957
147	0.3985909442
148	0.3978558653
149	0.3976795645
150	0.3971181301
151	0.3967479871
152	0.3958500686
153	0.3955394413
154	0.3945477966
155	0.3943140584
156	0.3941955649
157	0.3938028747
158	0.3930494729
159	0.3928818897
160	0.3920889059
161	0.3917829163
162	0.3914405526
163	0.390659717
164	0.3904591041
165	0.3897950131
166	0.3891581198
167	0.388933573
168	0.3882420359
169	0.3880270949
170	0.387428614
171	0.3869057873
172	0.3862419841
173	0.385687541
174	0.3850430112
175	0.3843960946
176	0.384149277
177	0.3839697717
178	0.3831957202
179	0.3822100301
180	0.3816909785
181	0.38119995
182	0.3805922867
183	0.3804680586
184	0.3801789476
185	0.3792844286
186	0.3790506704
187	0.3787069904
188	0.3785171597
189	0.3780974089
190	0.3779355351
191	0.3773185169
192	0.377001382
193	0.3763613213
194	0.3757586493
195	0.3755593863
196	0.3750996667
197	0.3745684961
198	0.3740074094
199	0.373669586
200	0.3731460007
201	0.372773815
202	0.3726225024
203	0.3718902332
204	0.3717263389
205	0.3714729507
206	0.3707024825
207	0.3697292044
208	0.3693718313
209	0.3691888136
210	0.3686427595
211	0.3679891066
212	0.367586979
213	0.3672192042
214	0.3666730469
215	0.3661022506
216	0.3656868772
217	0.3654815256
218	0.3646581097
219	0.3641984857
220	0.3633231336
221	0.3625798593
222	0.361971559
223	0.3612730106
224	0.3606067527
225	0.3601087769
226	0.3596031201
227	0.3594687312
228	0.3591287873
229	0.3589713019
230	0.3588082539
231	0.3582941413
232	0.3577027866
233	0.3572459822
234	0.3568033133
235	0.3564050434
236	0.3561481972
237	0.3558228466
238	0.3556925555
239	0.3551955505
240	0.354694768
241	0.3544406312
242	0.3541715087
243	0.3535062944
244	0.3530975978
245	0.3526620248
246	0.352425015
247	0.3517555611
248	0.3514039788
249	0.3507370614
250	0.350548184
251	0.3503960582
252	0.3498754934
253	0.3496628311
254	0.3492395358
255	0.3491095457
256	0.348934387
257	0.3482091632
258	0.3477755554
259	0.3474603036
260	0.3468602777
261	0.3463742612
262	0.3457668917
263	0.345239601
264	0.3447694649
265	0.3443114173
266	0.3441955744
267	0.3438202007
268	0.3433962965
269	0.3431127549
270	0.3428187302
271	0.342363567
272	0.3420643192
273	0.3415062977
274	0.3414271625
275	0.3405568566
276	0.3402231964
277	0.3396330829
278	0.3395427945
279	0.3390815617
280	0.3384625854
281	0.3380678844
282	0.3375762358
283	0.3372063405
284	0.3369863721
285	0.3365638149
286	0.3361380673
287	0.335756291
288	0.3353566078
289	0.3349246212
290	0.3340902625
291	0.3339562115
292	0.3336173534
293	0.3335308609
294	0.332977162
295	0.3327526669
296	0.3324477597
297	0.3321790261
298	0.331795108
299	0.331377346
